customer_id,year_month,age,segment,income,spend,balance_avg,loan,digital_logins_30d,incoming_tx_cnt_30d,outgoing_tx_cnt_30d,salary_variance,balance_trend_90d,spend_travel,spend_food_grocery,spend_entertainment,spend_education,spend_utilities,spend_health,spend_shopping,travel_tx_cnt_90d,recency_last_travel_days,bill_autopay_active,failed_payments_90d,payday_cadence_days,days_since_last_payday,season_flag,upcoming_bill_due_days,balance_ratio,surplus,spend_ratio,dti,cashflow_volatility,liquidity_buffer,digital_index,inflow_baseline_90d,max_inflow_z_30d,max_inflow_pct_30d,large_inflow_flag_7d,days_since_large_inflow
33,2025-08,31,worker,5502519.0,2313149.0,1915783.0,0.0,14,1,23,11797.0,0.441,87851.0,498345.0,154708.0,17922.0,254136.0,259096.0,0.0,0,60,1,0,14,17,none,7,0.348,3189370.0,0.42,0.0,0.19,2.018,0.583,6066855.0,0.484,0.619,0,22
34,2025-08,36,worker,6812261.0,3185761.0,4334229.0,30647187.0,14,1,23,153341.0,-0.821,0.0,307165.0,248106.0,75420.0,49442.0,91770.0,267538.0,0,332,0,0,14,5,holiday_week,0,0.636,3626500.0,0.468,4.499,0.174,2.43,0.583,5915065.0,-2.105,0.109,0,42
35,2025-08,34,worker,6869722.0,5162896.0,2207159.0,26278271.0,11,4,24,457988.0,0.084,119744.0,783130.0,14620.0,59690.0,190130.0,471848.0,744428.0,0,23,0,1,30,17,none,19,0.321,1706826.0,0.752,3.825,0.19,1.093,0.44,5639141.0,-1.69,0.156,0,37
36,2025-08,22,student,4087639.0,2504776.0,1392007.0,0.0,17,3,16,160705.0,-0.346,124524.0,834644.0,232799.0,219739.0,53757.0,0.0,499346.0,0,7,1,0,30,5,pre_holiday,6,0.341,1582862.0,0.613,0.0,0.432,1.372,1.0,3488503.0,1.279,0.782,0,26
37,2025-08,19,student,3529855.0,3236184.0,557428.0,4033214.0,9,10,22,53761.0,-0.134,231673.0,698854.0,48911.0,239148.0,266872.0,103934.0,447622.0,1,1,0,1,30,23,none,11,0.158,293671.0,0.917,1.143,0.393,0.718,0.391,2974531.0,-2.336,0.088,0,80
38,2025-08,37,worker,8728541.0,5871898.0,3680504.0,23406176.0,20,3,27,753192.0,0.187,610265.0,1506337.0,405404.0,113983.0,289717.0,139730.0,1304829.0,1,1,0,1,30,23,none,1,0.422,2856643.0,0.673,2.682,0.003,1.37,0.714,6297407.0,-2.282,0.093,0,7
39,2025-08,25,student,5276987.0,2268157.0,2299651.0,12902098.0,17,3,11,208837.0,-0.453,115737.0,362994.0,206735.0,115956.0,123472.0,210765.0,414761.0,0,10,0,1,30,1,none,8,0.436,3008830.0,0.43,2.445,0.008,2.177,1.417,4879855.0,0.015,0.504,0,50
40,2025-08,26,worker,11061226.0,5860214.0,3900657.0,0.0,12,2,23,90569.0,0.124,292160.0,1353194.0,803056.0,218390.0,358948.0,280362.0,541746.0,0,1,1,0,30,28,none,11,0.353,5201011.0,0.53,0.0,0.128,1.609,0.5,8964184.0,0.229,0.557,0,20
41,2025-08,26,worker,10969363.0,3373612.0,2279461.0,46865425.0,19,2,18,342673.0,-0.046,0.0,401417.0,142882.0,99124.0,257174.0,0.0,390208.0,0,365,0,0,14,23,pre_holiday,10,0.208,7595751.0,0.308,4.272,0.22,2.301,1.0,10976309.0,0.651,0.657,0,76
42,2025-08,47,family,18688893.0,12799671.0,6385879.0,50002585.0,19,5,26,1870966.0,-0.247,1313873.0,3093128.0,1995631.0,0.0,378021.0,0.0,1948470.0,0,1,0,1,30,11,post_holiday,3,0.342,5889222.0,0.685,2.676,0.248,1.229,0.704,18270997.0,-0.753,0.32,0,91
43,2025-08,36,family,20088280.0,13895915.0,6156636.0,78094344.0,16,2,28,2506483.0,-0.162,368117.0,3671580.0,1815863.0,692335.0,489068.0,109934.0,1321376.0,0,1,1,0,30,13,holiday_week,8,0.306,6192365.0,0.692,3.888,0.323,1.166,0.552,22977988.0,1.577,0.829,1,0
44,2025-08,40,worker,4695975.0,3082112.0,487347.0,0.0,24,2,13,540690.0,-0.02,358989.0,801507.0,190668.0,63469.0,205574.0,224383.0,699905.0,1,1,0,1,30,2,none,0,0.104,1613863.0,0.656,0.0,0.225,0.92,1.714,4077304.0,-1.477,0.186,0,57
45,2025-08,34,family,14252553.0,12568355.0,870792.0,36716110.0,19,3,15,745926.0,-0.296,1940923.0,1986235.0,350605.0,365036.0,1214547.0,860935.0,642053.0,2,1,0,0,30,28,post_holiday,10,0.061,1684198.0,0.882,2.576,0.493,0.636,1.188,11110044.0,1.074,0.745,0,57
46,2025-08,48,family,7549006.0,6792429.0,2387823.0,0.0,13,4,22,463248.0,0.053,367735.0,1391287.0,75685.0,299642.0,448516.0,215003.0,992196.0,1,1,1,0,30,3,none,10,0.316,756577.0,0.9,0.0,0.402,0.907,0.565,5129841.0,0.367,0.591,0,29
47,2025-08,32,worker,9945403.0,6906503.0,0.0,31252404.0,18,4,18,791084.0,-0.075,0.0,1920695.0,669385.0,229338.0,323744.0,161495.0,1201937.0,0,365,1,0,30,27,none,4,0.0,3038900.0,0.694,3.142,0.265,0.72,0.947,12222915.0,1.03,0.737,0,49
48,2025-08,33,worker,9804759.0,3919903.0,3794186.0,0.0,11,3,23,1309217.0,-0.225,388252.0,845576.0,182154.0,212185.0,50808.0,256935.0,408076.0,0,1,1,0,30,19,pre_holiday,0,0.387,5884856.0,0.4,0.0,0.338,2.219,0.458,9798055.0,2.026,0.883,1,0
49,2025-08,41,worker,14160066.0,11506360.0,2942920.0,0.0,28,4,23,1723132.0,0.765,1524917.0,2409331.0,1648875.0,203290.0,1041136.0,46208.0,1024987.0,0,1,0,0,14,27,holiday_week,16,0.208,2653706.0,0.813,0.0,0.033,0.871,1.167,11273353.0,-0.781,0.314,0,11
50,2025-08,20,student,6813629.0,5473416.0,3178238.0,0.0,16,4,15,566536.0,0.237,353153.0,2145336.0,270152.0,448021.0,264193.0,311559.0,656415.0,0,1,1,0,30,11,holiday_week,20,0.466,1340213.0,0.803,0.0,0.258,1.203,1.0,7862746.0,-1.133,0.244,0,95
51,2025-08,18,student,4374264.0,3352474.0,952338.0,18672101.0,19,8,14,2296.0,-0.122,121033.0,516563.0,128399.0,50868.0,127329.0,181315.0,600539.0,0,16,0,0,14,26,holiday_week,6,0.218,1021790.0,0.766,4.269,0.284,0.936,1.267,4826669.0,-2.857,0.054,0,25
52,2025-08,19,student,3187787.0,2764519.0,1094872.0,11011787.0,18,4,19,107539.0,0.116,288161.0,893958.0,262670.0,333042.0,65750.0,89885.0,253442.0,0,1,1,0,30,12,none,17,0.343,423268.0,0.867,3.454,0.37,0.973,0.9,2222871.0,-2.857,0.055,0,19
53,2025-08,41,family,19188206.0,10462864.0,5344981.0,0.0,17,10,16,3006614.0,-0.412,1044597.0,1434563.0,513005.0,367150.0,321096.0,574648.0,562260.0,1,1,0,0,14,10,none,7,0.279,8725342.0,0.545,0.0,0.02,1.428,1.0,15100711.0,-0.302,0.425,0,39
54,2025-08,22,worker,8163870.0,8337869.0,1750242.0,0.0,8,6,26,88468.0,-0.147,363370.0,2400459.0,698387.0,467073.0,355496.0,375786.0,1681795.0,1,1,0,0,30,10,none,14,0.214,0.0,1.021,0.0,0.261,0.699,0.296,7185440.0,-0.184,0.454,0,37
55,2025-08,42,family,16183659.0,9323177.0,7810729.0,0.0,17,2,23,42206.0,-0.094,0.0,2725594.0,1236559.0,401226.0,565874.0,543050.0,1413578.0,0,365,1,0,30,28,none,3,0.483,6860482.0,0.576,0.0,0.287,1.706,0.708,11967609.0,-1.862,0.135,0,42
56,2025-08,34,family,22865681.0,19033014.0,4681840.0,79625481.0,14,4,9,2449545.0,-0.511,1847951.0,3631554.0,1697646.0,265061.0,693718.0,0.0,3657964.0,0,1,1,0,14,13,none,10,0.205,3832667.0,0.832,3.482,0.345,0.847,1.4,20247860.0,-1.493,0.183,0,102
57,2025-08,38,worker,8079011.0,3772073.0,4276866.0,16847686.0,20,6,18,310574.0,0.224,58511.0,497449.0,337154.0,33829.0,268984.0,234435.0,662459.0,0,157,1,0,30,14,none,10,0.529,4306938.0,0.467,2.085,0.359,2.205,1.053,8133902.0,2.612,0.932,1,0
58,2025-08,22,worker,13019874.0,7557520.0,2228148.0,36397168.0,13,4,23,11877.0,-0.178,611827.0,522456.0,707313.0,179538.0,457271.0,573515.0,2042994.0,0,1,1,0,30,19,none,8,0.171,5462354.0,0.58,2.796,0.333,1.156,0.542,9035934.0,1.501,0.818,1,0
59,2025-08,19,student,5415797.0,5131226.0,1424316.0,0.0,20,3,20,738707.0,-0.11,393790.0,934262.0,0.0,576055.0,627120.0,268697.0,1022815.0,2,1,0,0,14,16,none,2,0.263,284571.0,0.947,0.0,0.283,0.805,0.952,5112242.0,-2.163,0.103,0,23
60,2025-08,18,student,2598237.0,1769049.0,1232455.0,10088642.0,18,4,15,215791.0,-0.206,0.0,490354.0,182080.0,204739.0,42556.0,109163.0,135736.0,0,362,1,0,30,16,pre_holiday,13,0.474,829188.0,0.681,3.883,0.343,1.431,1.125,2793818.0,-0.758,0.319,0,113
61,2025-08,27,worker,13809440.0,11682626.0,4881440.0,18920091.0,18,3,19,564943.0,1.0,841992.0,1676819.0,1066973.0,0.0,826004.0,443971.0,1826593.0,0,1,0,3,30,11,none,12,0.353,2126814.0,0.846,1.37,0.247,1.009,0.9,13257518.0,0.696,0.667,0,102
62,2025-08,33,worker,12540804.0,9475121.0,7359743.0,0.0,17,3,12,34001.0,-0.248,956692.0,2287411.0,1212609.0,0.0,672893.0,676313.0,832239.0,0,1,0,1,30,4,none,0,0.587,3065684.0,0.756,0.0,0.284,1.439,1.308,11144480.0,-1.074,0.255,0,15
63,2025-08,30,worker,10177338.0,7167454.0,1937949.0,0.0,15,3,19,1652498.0,-0.881,782281.0,790552.0,814394.0,534944.0,293168.0,314232.0,678937.0,1,1,0,0,30,29,none,2,0.19,3009884.0,0.704,0.0,0.364,0.98,0.75,8139680.0,-1.386,0.2,0,50
64,2025-08,36,family,12399749.0,11464530.0,852190.0,35713739.0,25,4,25,728825.0,-0.67,854005.0,2451605.0,839615.0,98452.0,791603.0,39002.0,353489.0,0,1,1,0,14,14,none,7,0.069,935219.0,0.925,2.88,0.282,0.615,0.962,12705109.0,-0.58,0.359,0,94
65,2025-08,31,worker,7270080.0,4976379.0,1138264.0,26799195.0,19,4,22,944139.0,0.392,0.0,685478.0,671577.0,361218.0,427503.0,343406.0,527127.0,0,365,1,0,30,29,none,4,0.157,2293702.0,0.685,3.686,0.301,0.959,0.826,5259627.0,1.87,0.866,1,0
66,2025-08,33,worker,8136072.0,3684740.0,3814839.0,0.0,32,6,15,851698.0,0.651,559363.0,835828.0,253148.0,129256.0,254538.0,0.0,594480.0,0,1,1,0,30,13,none,6,0.469,4451332.0,0.453,0.0,0.33,2.139,2.0,7618771.0,2.025,0.883,1,2
67,2025-08,25,worker,11874551.0,7118959.0,5220363.0,40712543.0,21,3,20,403199.0,-0.257,850805.0,1363827.0,681222.0,169118.0,720996.0,363727.0,858536.0,0,1,0,0,30,17,holiday_week,0,0.44,4755591.0,0.6,3.429,0.331,1.567,1.0,10732544.0,-1.261,0.221,0,75
68,2025-08,36,worker,7028833.0,5641895.0,2064636.0,0.0,17,9,23,241461.0,0.626,0.0,756782.0,382384.0,0.0,68969.0,162821.0,291735.0,0,365,0,2,14,16,pre_holiday,11,0.294,1386938.0,0.803,0.0,0.448,0.989,0.708,7512709.0,0.79,0.688,0,45
69,2025-08,22,student,4861611.0,3788782.0,589962.0,17424901.0,14,6,28,643268.0,0.384,53608.0,676022.0,403207.0,23966.0,172809.0,101271.0,88905.0,0,155,0,0,30,28,none,2,0.121,1072829.0,0.779,3.584,0.598,0.797,0.483,3950486.0,-0.011,0.497,0,56
70,2025-08,34,worker,6359025.0,3083753.0,3103434.0,0.0,18,7,20,846551.0,-0.035,253119.0,479483.0,198929.0,222970.0,319301.0,146169.0,819630.0,0,1,0,0,30,3,none,17,0.488,3275271.0,0.485,0.0,0.306,2.037,0.857,5248355.0,-1.728,0.151,0,91
71,2025-08,22,student,3642457.0,2226811.0,466536.0,0.0,21,5,27,123282.0,-0.067,249371.0,275767.0,369007.0,302002.0,199227.0,40135.0,326623.0,1,1,1,0,14,15,none,1,0.128,1415646.0,0.611,0.0,0.182,1.027,0.75,2599696.0,-0.509,0.375,0,68
72,2025-08,33,worker,10204881.0,6457055.0,5513912.0,20391175.0,24,5,33,892815.0,0.131,220417.0,2089259.0,1189399.0,205696.0,517723.0,379289.0,452395.0,0,1,0,1,30,4,none,12,0.54,3747826.0,0.633,1.998,0.312,1.644,0.706,9853758.0,-2.167,0.103,0,87
73,2025-08,52,family,38102694.0,25345133.0,30787041.0,0.0,14,3,24,2055231.0,0.445,3084546.0,5153141.0,3219599.0,0.0,2471076.0,1104031.0,3948406.0,1,1,0,0,30,26,none,8,0.808,12757561.0,0.665,0.0,0.312,1.966,0.56,31870146.0,1.994,0.88,1,0
74,2025-08,20,student,2148344.0,1103417.0,893628.0,9692571.0,18,8,18,17904.0,0.229,0.0,54966.0,176986.0,177041.0,20692.0,23271.0,298966.0,0,343,1,0,14,15,post_holiday,9,0.416,1044927.0,0.514,4.512,0.301,1.783,0.947,1655705.0,2.661,0.934,1,0
75,2025-08,20,student,7743827.0,4845656.0,3432427.0,22125397.0,21,4,17,565975.0,-0.255,0.0,878969.0,30879.0,790718.0,419425.0,418048.0,806143.0,0,365,0,1,14,27,none,8,0.443,2898171.0,0.626,2.857,0.438,1.507,1.167,6078730.0,-0.704,0.331,0,35
76,2025-08,27,worker,10349459.0,6320502.0,2675204.0,19997590.0,16,2,29,77412.0,-0.028,0.0,1956570.0,77517.0,359977.0,589551.0,306499.0,0.0,0,365,0,0,14,8,none,6,0.258,4028957.0,0.611,1.932,0.025,1.242,0.533,10148326.0,-1.113,0.247,0,29
77,2025-08,25,worker,11340718.0,9477778.0,209418.0,27323232.0,16,4,31,415946.0,0.942,86996.0,1610149.0,637431.0,623572.0,475777.0,594194.0,2860578.0,0,99,0,1,30,4,pre_holiday,11,0.018,1862940.0,0.836,2.409,0.498,0.62,0.5,8330392.0,1.808,0.859,1,0
78,2025-08,24,worker,10236003.0,8612247.0,1875415.0,0.0,15,4,24,205501.0,0.163,1440012.0,3084436.0,735442.0,257483.0,1140241.0,765511.0,14786.0,2,1,0,0,14,18,none,19,0.183,1623756.0,0.841,0.0,0.549,0.812,0.6,7655252.0,2.085,0.889,1,2
79,2025-08,26,worker,11474691.0,8010808.0,1586237.0,29280924.0,22,2,27,401734.0,0.441,1633031.0,1297309.0,588177.0,139572.0,573377.0,707669.0,891330.0,0,1,1,0,30,4,none,5,0.138,3463883.0,0.698,2.552,0.332,0.914,0.786,11870042.0,-1.91,0.129,0,24
80,2025-08,37,family,15343619.0,10145109.0,1289783.0,0.0,16,4,28,865780.0,0.293,835004.0,2792786.0,12444.0,646424.0,120194.0,618779.0,501571.0,0,1,1,0,30,11,none,5,0.084,5198510.0,0.661,0.0,0.328,0.883,0.552,13426923.0,-0.254,0.437,0,21
81,2025-08,34,worker,16336584.0,12105223.0,9262333.0,0.0,22,1,17,150651.0,0.173,291793.0,3870281.0,1705782.0,6484.0,922399.0,382259.0,915960.0,0,1,1,0,14,9,none,15,0.567,4231361.0,0.741,0.0,0.227,1.44,1.222,17044232.0,-0.101,0.475,0,29
82,2025-08,32,worker,8370591.0,5001543.0,3340831.0,0.0,18,9,19,1160657.0,0.099,259533.0,1354665.0,955511.0,131518.0,243426.0,0.0,720025.0,0,1,0,1,30,6,none,8,0.399,3369048.0,0.598,0.0,0.24,1.505,0.9,7082329.0,-1.321,0.211,0,43
83,2025-08,32,family,24065314.0,13187195.0,10067574.0,113306028.0,11,3,13,2037470.0,0.454,1295281.0,1566535.0,1943565.0,482310.0,1263222.0,640322.0,0.0,1,1,1,0,30,3,post_holiday,17,0.418,10878119.0,0.548,4.708,0.319,1.676,0.786,21654718.0,0.662,0.66,0,29
84,2025-08,23,student,2987761.0,1729814.0,879525.0,12533748.0,29,7,20,447352.0,0.373,0.0,267765.0,238039.0,242163.0,139017.0,135190.0,205820.0,0,365,0,0,14,19,none,0,0.294,1257946.0,0.579,4.195,0.317,1.372,1.381,2759033.0,-1.2,0.232,0,27
85,2025-08,22,student,3885984.0,2427877.0,1208471.0,7301425.0,14,4,14,202056.0,0.169,68426.0,803237.0,229773.0,434515.0,125566.0,129836.0,489192.0,0,100,1,0,30,22,holiday_week,7,0.311,1458106.0,0.625,1.879,0.337,1.298,0.933,4306031.0,-0.926,0.284,0,72
86,2025-08,20,student,2464789.0,1344491.0,1290611.0,4721941.0,12,7,14,80255.0,-0.262,218246.0,223565.0,55371.0,170146.0,140134.0,0.0,92479.0,2,1,1,0,30,11,none,9,0.524,1120299.0,0.545,1.916,0.309,1.877,0.8,2701115.0,-0.174,0.457,0,19
87,2025-08,33,family,18986871.0,14132098.0,5591846.0,55234217.0,21,2,17,2808553.0,0.224,0.0,4446519.0,1228923.0,853836.0,1274050.0,998698.0,456669.0,0,365,1,0,30,8,pre_holiday,7,0.295,4854773.0,0.744,2.909,0.387,1.067,1.167,20372638.0,-2.553,0.072,0,24
88,2025-08,35,worker,16285637.0,13508241.0,5590793.0,0.0,16,2,25,506435.0,0.02,226015.0,2667557.0,2547826.0,984199.0,620956.0,982274.0,1563079.0,0,1,0,0,14,4,none,10,0.343,2777396.0,0.829,0.0,0.39,1.017,0.615,13120966.0,-2.857,0.054,0,101
